id,itemUrl,status,title,picUrl,initialPrice,currentPrice,consultPrice,marketPrice,sellOff,start,end,timeToStart,timeToEnd,viewerCount,bidCount,delayCount,applyCount,xmppVersion,buyRestrictions,supportLoans,supportOrgLoan,status,
568225854587,http://sf.taobao.com/sf_item/568225854587.htm,done,北京市丰台区镇国寺北街夏季星空6号院2号楼1-402，,//img.alicdn.com/bao/uploaded/i2/TB17W.RnbSYBuNjSspfBRgZCpXa,7294000,7294000,792.82,0,,2018-05-22 10:00:00,2018-05-23 11:42:24,-103338252,-10794252,6048,268,244,6,271,0,0,1,【第一次拍卖】|121.09平方米|none|none|none|none,
566534404548,http://sf.taobao.com/sf_item/566534404548.htm,done,海淀区永定路乙1号院11号楼7层十一单元801,//img.alicdn.com/bao/uploaded/i3/TB1PpEjhk9WBuNjSspe_Iqz5VXa,12558051.9,12558051.9,13953391,0,1,2018-04-13 10:00:00,2018-05-23 10:58:31,-3472938252,-13427252,12946,1,0,2,3,0,0,1,【变卖】|151.45平方米|情况1. 有无租赁：无。2. 是|none|卖品介绍1、变卖对象：已取得《房屋所有权证》，位于北京市海淀区永定路乙1号院11号楼 7层十一单元801室房产，建筑面积：151.45平方米，设计用途与实际用途均为普通住宅，建筑年代：2005年。2、他项权利状况：无。3、权证情况：办理产权证4、限购情况：竞买人自行咨询5、税费负担情况：按主管部门规定承担税费，均由买受人负担。6、所在楼盘情况：北京市海淀区永定路乙1号院11号楼7、基础设施状况：齐全8、物业情况：水电费欠费由买受人承担，自行咨询。|none,
568113434801,http://sf.taobao.com/sf_item/568113434801.htm,done,北京市海淀区宝盛里15号楼2单元五层502号房地产,//img.alicdn.com/bao/uploaded/i3/TB1DQLwm4SYBuNjSsphM_TGvVXa,3115000,3115000,3399669,0,,2018-05-22 10:00:00,2018-05-23 10:38:17,-103338252,-14641252,16470,47,31,9,49,0,0,1,【第一次拍卖】|none|屋用途住宅租赁情况无钥匙|none|无|none,
567712864642,http://sf.taobao.com/sf_item/567712864642.htm,done,拍卖北京市大兴区鹿华路中信新城2号院8号楼12层1单元1503房产,//img.alicdn.com/bao/uploaded/i4/TB11ehqjOOYBuNjSsD4BibSkFXa,4624561.35,4624561.35,4771063.4,0,,2018-05-21 10:00:00,2018-05-22 10:34:59,-189738252,-101239252,7037,33,27,9,35,0,0,1,【第二次拍卖】|85.88平方米|none|none|none|none,
568092777882,http://sf.taobao.com/sf_item/568092777882.htm,done,北京市经济技术开发区荣华南路7号院2号楼12层1502号,//img.alicdn.com/bao/uploaded/i2/TB14np1nkKWBuNjy1zjYp3OypXa,3910000,3910000,4280800,0,,2018-05-21 10:00:00,2018-05-22 10:19:40,-189738252,-102158252,5835,79,46,5,80,0,1,0,【第一次拍卖】|136.16平方米|用途为住宅租赁情况无钥匙|none|无|none,
568086901261,http://sf.taobao.com/sf_item/568086901261.htm,done,北京市大兴区黄村镇滨河西里19号楼6层5-603室房地产,//img.alicdn.com/bao/uploaded/i3/TB1.tu1nb9YBuNjy0FgSVkxcXXa,3133000,3133000,4474536,0,,2018-05-21 10:00:00,2018-05-22 10:00:33,-189738252,-103305252,4634,1,1,1,3,0,0,1,【第一次拍卖】|127.15平方米|否已腾空否租赁情况有租赁|住宅是否已腾空否租赁情况|有租赁|否,
567786084366,http://sf.taobao.com/sf_item/567786084366.htm,failure,密云县果园西里18号楼5层1单元501号,//img.alicdn.com/bao/uploaded/i3/TB1HI16mQ9WBuNjSspeFW5z5VXa,1800000,1800000,2225800,0,,2018-05-21 10:00:00,2018-05-22 10:00:00,-189738252,-103338252,2643,0,0,0,2,0,0,1,【第一次拍卖】|12.平方米|否已腾空否租赁情况无出租|住宅是否已腾空否租赁情况|无出租|否,
567825544855,http://sf.taobao.com/sf_item/567825544855.htm,failure,北京市朝阳区东四环北路2号23至24层2701室房屋,//img.alicdn.com/bao/uploaded/i4/TB1hsFhm25TBuNjSspmcKGDRVXa,17493257.7,17493257.7,19436953,0,,2018-05-21 10:00:00,2018-05-22 10:00:00,-189738253,-103338253,4278,0,0,0,2,0,0,1,【第一次拍卖】|215.12平方米|none|none|none|none,
568166563967,http://sf.taobao.com/sf_item/568166563967.htm,failure,北京市房山区良乡地区黄辛庄东里5号楼1层3-301号,//img.alicdn.com/bao/uploaded/i4/TB1eS12m1uSBuNjSszi9Nvq8pXa,2580000,2580000,2722400,0,,2018-05-21 10:00:00,2018-05-22 10:00:00,-189738253,-103338253,2809,0,0,0,2,0,0,1,【第二次拍卖】|94.71平方米|否已腾空否租赁情况否过户|居住是否已腾空否租赁情况|否|否,
567657976484,http://sf.taobao.com/sf_item/567657976484.htm,failure,北京市怀柔区迎宾北路12号院3号楼1层2－102号,//img.alicdn.com/bao/uploaded/i1/TB1yiANmaSWBuNjSsrbJuy0mVXa,2752500,2752500,3670000,0,,2018-05-20 10:00:00,2018-05-21 10:00:00,-276138253,-189738253,3083,0,0,0,2,0,0,1,【第一次拍卖】|108.57平方米|屋用途住宅租赁情况现有第|none|现有第三人租住。|none,
567867554608,http://sf.taobao.com/sf_item/567867554608.htm,done,北京市怀柔区西园14号楼12层E号,//img.alicdn.com/bao/uploaded/i4/TB1HOENmaSWBuNjSsrbniG0mVXa,3682500,3682500,4910000,0,,2018-05-20 10:00:00,2018-05-21 10:00:00,-276138253,-189738253,2200,1,0,1,3,0,0,1,【第一次拍卖】|137.49平方米|屋用途住宅租赁情况无租赁|none|无租赁情况，现被执行人居住 。|none,
567848385933,http://sf.taobao.com/sf_item/567848385933.htm,done,北京市顺义区宏城花园11号楼5层5单元502号房产（100.64平方米）,//img.alicdn.com/bao/uploaded/i1/TB1g6UYmx1YBuNjy1zc7_bNcXXa,3609900,3609900,4157000,0,,2018-05-19 10:00:00,2018-05-20 11:38:28,-362538253,-270230253,10770,59,51,5,61,0,1,1,【第一次拍卖】|100.64平方米|地性质住宅租赁情况无钥匙|none|无|none,
567920149804,http://sf.taobao.com/sf_item/567920149804.htm,done,北京市丰台区右安门外开阳里二区2号楼6层16-602号（110.79平方米）,//img.alicdn.com/bao/uploaded/i2/TB1DtVcm9tYBeNjSspalAuOOFXa,5350000,5350000,6074900,0,,2018-05-19 10:00:00,2018-05-20 10:25:12,-362538253,-274626253,10954,62,41,7,66,0,1,1,【第一次拍卖】|110.79平方米|地性质住宅租赁情况 租期�|none| 租期至2018年11月3日，租金已付清。|none,
